# rating,review length
5.0,23.0
5.0,11.0
5.0,14.0
2.0,66.0
5.0,26.0
3.0,26.0
5.0,30.0
5.0,115.0
5.0,51.0
5.0,7.0
5.0,4.0
4.0,21.0
5.0,93.0
5.0,19.0
5.0,96.0
5.0,46.0
5.0,9.0
5.0,136.0
4.0,10.0
5.0,25.0
4.0,72.0
5.0,45.0
5.0,75.0
5.0,54.0
5.0,4.0
5.0,85.0
3.0,38.0
5.0,22.0
5.0,17.0
5.0,105.0
5.0,15.0
5.0,4.0
3.0,23.0
5.0,58.0
5.0,4.0
5.0,47.0
5.0,71.0
5.0,37.0
5.0,41.0
4.0,60.0
5.0,15.0
5.0,2.0
5.0,18.0
5.0,40.0
5.0,17.0
2.0,40.0
3.0,9.0
5.0,19.0
5.0,35.0
1.0,39.0
5.0,28.0
5.0,7.0
5.0,100.0
5.0,6.0
5.0,8.0
3.0,70.0
5.0,66.0
2.0,55.0
5.0,32.0
2.0,24.0
5.0,15.0
5.0,21.0
5.0,39.0
5.0,72.0
3.0,12.0
5.0,54.0
5.0,77.0
5.0,9.0
3.0,55.0
5.0,7.0
5.0,23.0
5.0,11.0
5.0,14.0
2.0,66.0
5.0,26.0
3.0,26.0
5.0,30.0
5.0,115.0
5.0,51.0
5.0,7.0
5.0,4.0
4.0,21.0
5.0,93.0
5.0,19.0
5.0,96.0
5.0,46.0
5.0,9.0
5.0,136.0
4.0,10.0
5.0,25.0
4.0,72.0
5.0,45.0
5.0,75.0
5.0,54.0
5.0,4.0
5.0,85.0
3.0,38.0
5.0,22.0
5.0,17.0
5.0,105.0
5.0,15.0
5.0,4.0
3.0,23.0
5.0,58.0
5.0,4.0
5.0,12.0
5.0,12.0
5.0,12.0
3.0,51.0
5.0,10.0
5.0,6.0
5.0,12.0
1.0,45.0
5.0,45.0
5.0,19.0
5.0,27.0
5.0,34.0
5.0,99.0
5.0,11.0
5.0,35.0
5.0,3.0
5.0,8.0
5.0,34.0
5.0,6.0
5.0,19.0
5.0,27.0
5.0,203.0
5.0,46.0
5.0,10.0
4.0,20.0
4.0,103.0
5.0,12.0
5.0,6.0
3.0,45.0
2.0,49.0
1.0,74.0
5.0,8.0
5.0,49.0
5.0,4.0
5.0,36.0
4.0,21.0
5.0,8.0
5.0,27.0
5.0,7.0
5.0,13.0
4.0,63.0
5.0,71.0
5.0,27.0
5.0,11.0
5.0,9.0
5.0,8.0
5.0,10.0
5.0,6.0
5.0,36.0
5.0,12.0
5.0,12.0
5.0,12.0
3.0,51.0
5.0,10.0
5.0,6.0
5.0,12.0
1.0,45.0
5.0,45.0
5.0,19.0
5.0,27.0
5.0,34.0
5.0,99.0
5.0,11.0
5.0,35.0
5.0,3.0
5.0,8.0
5.0,34.0
5.0,6.0
5.0,19.0
5.0,27.0
5.0,203.0
5.0,46.0
5.0,10.0
4.0,20.0
4.0,103.0
5.0,12.0
5.0,6.0
3.0,45.0
2.0,49.0
1.0,74.0
5.0,8.0
5.0,49.0
5.0,4.0
5.0,36.0
4.0,21.0
5.0,8.0
5.0,27.0
5.0,7.0
5.0,13.0
4.0,63.0
5.0,71.0
5.0,27.0
5.0,11.0
5.0,9.0
5.0,8.0
5.0,10.0
5.0,6.0
5.0,36.0
5.0,7.0
5.0,12.0
5.0,19.0
5.0,19.0
5.0,19.0
5.0,70.0
5.0,22.0
5.0,26.0
5.0,18.0
5.0,3.0
5.0,15.0
1.0,53.0
5.0,16.0
1.0,147.0
5.0,73.0
5.0,27.0
5.0,60.0
5.0,5.0
5.0,8.0
5.0,28.0
5.0,68.0
3.0,15.0
1.0,15.0
5.0,10.0
5.0,59.0
5.0,10.0
5.0,21.0
5.0,194.0
2.0,13.0
5.0,106.0
5.0,86.0
5.0,28.0
5.0,53.0
5.0,9.0
5.0,18.0
5.0,24.0
5.0,17.0
5.0,11.0
5.0,4.0
3.0,17.0
5.0,32.0
5.0,5.0
5.0,32.0
5.0,6.0
5.0,8.0
3.0,14.0
5.0,4.0
5.0,11.0
1.0,6.0
5.0,18.0
5.0,15.0
5.0,5.0
5.0,12.0
3.0,44.0
1.0,130.0
5.0,22.0
5.0,12.0
5.0,56.0
5.0,11.0
5.0,10.0
5.0,16.0
3.0,14.0
5.0,5.0
5.0,18.0
5.0,69.0
5.0,29.0
5.0,21.0
5.0,13.0
5.0,22.0
4.0,47.0
5.0,24.0
5.0,15.0
5.0,15.0
2.0,35.0
5.0,8.0
1.0,72.0
2.0,61.0
5.0,36.0
5.0,13.0
5.0,63.0
5.0,49.0
5.0,43.0
5.0,98.0
4.0,140.0
5.0,169.0
5.0,33.0
1.0,32.0
4.0,16.0
4.0,6.0
4.0,32.0
3.0,227.0
3.0,15.0
1.0,15.0
5.0,10.0
5.0,59.0
5.0,10.0
5.0,21.0
5.0,194.0
2.0,13.0
5.0,106.0
5.0,86.0
5.0,28.0
5.0,53.0
5.0,9.0
5.0,18.0
5.0,24.0
5.0,17.0
5.0,11.0
5.0,4.0
3.0,17.0
5.0,32.0
5.0,5.0
5.0,32.0
5.0,6.0
5.0,8.0
3.0,14.0
5.0,4.0
5.0,11.0
1.0,6.0
5.0,18.0
5.0,15.0
5.0,5.0
5.0,12.0
3.0,44.0
1.0,130.0
5.0,22.0
5.0,12.0
5.0,56.0
5.0,11.0
5.0,10.0
5.0,16.0
3.0,14.0
5.0,5.0
5.0,18.0
5.0,69.0
5.0,29.0
5.0,21.0
5.0,13.0
5.0,22.0
4.0,47.0
3.0,132.0
1.0,23.0
5.0,27.0
3.0,136.0
1.0,9.0
5.0,8.0
5.0,14.0
3.0,37.0
5.0,13.0
5.0,35.0
4.0,34.0
5.0,23.0
1.0,165.0
3.0,31.0
2.0,14.0
5.0,25.0
1.0,34.0
5.0,15.0
5.0,7.0
5.0,11.0
5.0,68.0
5.0,25.0
5.0,20.0
5.0,37.0
5.0,81.0
2.0,39.0
1.0,34.0
5.0,7.0
5.0,9.0
2.0,39.0
5.0,7.0
5.0,16.0
5.0,16.0
5.0,12.0
5.0,4.0
5.0,150.0
5.0,21.0
5.0,42.0
5.0,5.0
5.0,7.0
5.0,17.0
5.0,18.0
4.0,29.0
5.0,26.0
5.0,29.0
5.0,71.0
5.0,5.0
5.0,10.0
5.0,38.0
4.0,42.0
1.0,22.0
5.0,37.0
5.0,60.0
5.0,24.0
5.0,3.0
5.0,3.0
5.0,26.0
5.0,11.0
2.0,43.0
5.0,6.0
5.0,3.0
5.0,16.0
5.0,85.0
5.0,20.0
5.0,37.0
5.0,29.0
4.0,34.0
5.0,26.0
5.0,22.0
5.0,21.0
3.0,132.0
1.0,23.0
5.0,27.0
3.0,136.0
1.0,9.0
5.0,8.0
5.0,14.0
3.0,37.0
5.0,13.0
5.0,35.0
4.0,34.0
5.0,23.0
1.0,165.0
3.0,31.0
2.0,14.0
5.0,25.0
1.0,34.0
5.0,15.0
5.0,7.0
5.0,11.0
5.0,68.0
5.0,25.0
5.0,20.0
5.0,37.0
5.0,81.0
2.0,39.0
1.0,34.0
5.0,7.0
5.0,9.0
2.0,39.0
5.0,7.0
5.0,16.0
5.0,16.0
5.0,12.0
5.0,4.0
5.0,150.0
5.0,21.0
5.0,42.0
5.0,5.0
5.0,7.0
5.0,17.0
5.0,18.0
4.0,29.0
5.0,26.0
5.0,29.0
5.0,71.0
5.0,5.0
5.0,10.0
5.0,38.0
1.0,29.0
5.0,67.0
5.0,56.0
5.0,4.0
1.0,86.0
5.0,26.0
5.0,78.0
2.0,28.0
4.0,14.0
2.0,169.0
5.0,26.0
5.0,27.0
5.0,23.0
5.0,17.0
5.0,40.0
5.0,78.0
5.0,3.0
5.0,7.0
5.0,42.0
5.0,71.0
4.0,9.0
5.0,5.0
5.0,110.0
1.0,56.0
4.0,29.0
5.0,13.0
5.0,16.0
2.0,29.0
2.0,32.0
2.0,9.0
5.0,51.0
5.0,12.0
4.0,8.0
5.0,112.0
3.0,19.0
1.0,25.0
5.0,64.0
