review_id,product_id,brand,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R3O5R3WJWEJ71E,B07594HZ6Y,Tribit,5.0 out of 5 stars best thing I bought in a while,robin steenhoven,5,it was so easy to pair was charged best item I've gotten in a while and it awesome sound Read more,"Reviewed in the United States January 8, 2025",AE73NHNODIDVFRK3MZVF5NMBNKAQ,FALSE,0,{}
R23UDETRV4Y8AM,B07594HZ6Y,Tribit,4.0 out of 5 stars All around OK,Tom,4,"This is a replacement for one that lasted 3 years and then stopped working. For the price, very acceptable sound for streaming. Read more","Reviewed in the United States January 8, 2025",AGZTFELQ6KBR7FGWSKYIUF5KDASA,FALSE,0,{}
R1B981N05RFRIF,B07594HZ6Y,Tribit,1.0 out of 5 stars Quit working after 2 months,Tammy M,1,"I have purchased this speaker in the past and at first found this latest one to be superior. However, yesterday it quit working just over 2 months of use. Previous had lasted years. Guess I have to find a reliable speaker. Too bad. Read more","Reviewed in the United States January 8, 2025",AHRYR5YVG7IMZLRJZVLHPQN3FBJQ,FALSE,0,{}
R3KMK2SWJ5IXT4,B07594HZ6Y,Tribit,"4.0 out of 5 stars Good hardware, works well.",Bob W,4,"Good quality, could be a little louder as another model I had. Read more","Reviewed in the United States January 8, 2025",AEPSPRWJNKMNYRQW4HLBXMVY5I3Q,FALSE,0,{}
R13USIJLESBX6V,B07594HZ6Y,Tribit,5.0 out of 5 stars Great quality,E. R.,5,This works great Read more,"Reviewed in the United States January 7, 2025",AHF2YC2RA46UU3ESW2UF2XC6R3JA,FALSE,0,{}
R3GRMLRQ92NP05,B07594HZ6Y,Tribit,5.0 out of 5 stars This speaker works great!,Amazon Customer,5,It works great Read more,"Reviewed in the United States January 7, 2025",AFHGXVXYKQZIFUDZHOYJGNS3ZDJA,FALSE,0,{}
RB6W5G0QBXH93,B07594HZ6Y,Tribit,5.0 out of 5 stars Boyfriend loved it,Prinmi237,5,I was planning to buy a JBL flip 6 for my man but my order got cancelled two times with no explanations on the company website and since I was in a rush I went with this instead. But it’s sooo freaking loud and nice I think you can also download the app and change the settings to your discretion. Also bear in mind that it may be a little bit smaller in a man hand. Will maybe try to add some pictures later. Read more,"Reviewed in the United States January 6, 2025",AG6TUFEJ4UCLCXCEEAWZXY6YYXBQ,FALSE,0,{}
R3221UOSOJJ69Z,B07594HZ6Y,Tribit,2.0 out of 5 stars Weak on the bass,Randall Reade,2,Fine for nothing important you want to hear. The bass is rather weak. Read more,"Reviewed in the United States January 5, 2025",AGPIMOFZUAX2HUUBPOKNT2MBCCLQ,FALSE,0,{}
R13SZGUV4H702R,B07594HZ6Y,Tribit,4.0 out of 5 stars Nice little speaker but not much sound for 16W,Dabu,4,I thought I was upgrading from a 12W to 16W speaker for my workshop but it actually makes less sound and doesn't fill the room with sound like the Anker Soundcore 12W (which no longer charges). I like the USB-C charging and the small size so we'll keep it in the van and use it when traveling. Read more,"Reviewed in the United States January 4, 2025",AFQKZXKILYCWEQWDVSQ7OYRVVVUA,FALSE,0,{}
R3CBZ40XL1734D,B07594HZ6Y,Tribit,2.0 out of 5 stars Sounds Good--But will not sync/serial mode with second unit as advertised,Aaron,2,"Sounds fine and connects to phone easily. But, I bought two of these specifically to sync them together in serial mode as advertised. Followed instructions included with device, but one of them does not work as advertised--long press of bluetooth then a ""ding"" but never says ""Serial Mode"". Again, following instructions exactly. Will be returning. Read more","Reviewed in the United States January 4, 2025",AFVCRXVDTD2P3R45EMZFPCDJYOZA,FALSE,0,{}
R2SIMY53M06K9B,B07594HZ6Y,Tribit,3.0 out of 5 stars Finicky to charge,Emily H.,3,"Comes with a charging cable but not a charger. Says not to charge by plugging into a computer; however, I've *only* been able to charge it by plugging it into a computer. Plugging it into a readily available 5v charger does not work. Read more","Reviewed in the United States January 2, 2025",AH2Q4KZIW7MPBJBOTWPTCYACLZEA,FALSE,0,{}
R3M07POOKLIVJU,B07594HZ6Y,Tribit,5.0 out of 5 stars Small but Mighty!,GB,5,"The xbass is so rich that my wife has now commandeered this speaker for her exclusive use on her frequent work trips. Bluetooth connectivity is easy. It's portable, each to charge and affordable. You can't go wrong with this terrific performer of a speaker! Read more","Reviewed in the United States December 31, 2024",AHIJRJBL7SNT332UKNRASETCSLBQ,FALSE,0,{}
R3PO2UHT4BQNGV,B07594HZ6Y,Tribit,5.0 out of 5 stars Parlante accesible,Edy,5,Parlante económico pero con buenas prestaciones Read more,"Reviewed in the United States December 29, 2024",AFPNWGLDDMTQYAJGH3JDRYZPY2SQ,FALSE,0,{}
R1I59L66LJ2XXV,B07594HZ6Y,Tribit,5.0 out of 5 stars Excellent speaker for the price,Elise Watts,5,My Tribit Bluetooth speaker came today. I'm highly impressed with the sound quality. It has some pretty good bass for being a smaller speaker. I would say the length of the speaker is the size of my hand so it's easy to carry around. I would say the price is affordable and the speaker itself feels very stable. Bluetooth was easy to pair even for me who is not good with electronics. I would definitely recommend this speaker. Read more,"Reviewed in the United States December 29, 2024",AEBOKOBQUI5LNPO5EAB7W2DZX2LA,FALSE,0,{}
R2BKE832M9HUOM,B07594HZ6Y,Tribit,5.0 out of 5 stars Big sound from small package,Bryan B,5,"I have had this speaker for a couple years and am still impressed with it. It has a decent charge, sound that fills a good size room and pairs very easily with another device. We use it primarily at night as a type of sleep speaker and love it. My in-laws use it at their lake house and it fills their cottage very well. For the price, it’s worth a try. Read more","Reviewed in the United States December 28, 2024",AGMW2LYICGQTLW675FEXMRDBCWOQ,FALSE,0,{}
R2Y2BQMCWOFO0E,B07594HZ6Y,Tribit,5.0 out of 5 stars All about that bass!,Trevon Brandhorst,5,Have two other Tribits but this adds bass to my setup! Love they all mesh together and connect seamlessly. Read more,"Reviewed in the United States December 27, 2024",AFRTZYCP6HOGII5SEQKAYHD56PWA,FALSE,0,{}
R2AJ9HQRR0ZD3B,B07594HZ6Y,Tribit,5.0 out of 5 stars Love these,Glenda,5,I absolutely love these speakers!! They sound better than any other speakers I have owned so far. I love using them in stereo mode as well!! Read more,"Reviewed in the United States December 27, 2024",AGH5TRVZQIOFVTJECT2D5PW4NHVA,FALSE,0,{}
R2QGPYSVOVZFLQ,B07594HZ6Y,Tribit,5.0 out of 5 stars You can’t go wrong with this speaker!,Omar J. Contreras,5,Great product! I’ve bought two and both work amazing. Simple price and does exactly with its suppose too. And it’s super loud too!! Read more,"Reviewed in the United States December 27, 2024",AEXJBYO2EL56BJNSFFJSZ4BUTPVA,FALSE,1,{}
R2UYJHW0RXFXMS,B07594HZ6Y,Tribit,5.0 out of 5 stars Excellent small speaker,James L Amazon Customer,5,Great small speaker Read more,"Reviewed in the United States December 26, 2024",AEML7AG4WFG62FEH7GWOKEZIUMIA,FALSE,0,{}
R3VZWG9MIYCJFC,B07594HZ6Y,Tribit,2.0 out of 5 stars WOULD NOT RECOMMEND,Neal Marcot,2,"Stopped working after about 2 yrs. Not used that much. Battery would not charge. Folks save your money and get a better quality speaker from a more reputable manufactuer. While it worked it was fine, but don't expect longevity on this one. Read more","Reviewed in the United States December 24, 2024",AF47ZHTWJOJ2D6BHRIUTIYFQJCNQ,FALSE,1,{}
